Document ID,Remote ID,Filename,Received At,Processed At,Table Data,Table Data 1,Table Data 2,Table Data 3,Table Data 4,Table Data 5,Table Data 6,Table Data 7
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,COWLES MOUNTAIN BLVD,JACKSON DR,EL PASO ST,2400 N,1800,1800 N,1800 N,1700
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,City of San Diego,,,,,,,
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,Primary Street,1st Cross Street,2nd Cross Street,2009,2010,2011,2012,2013
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,CRAWFORD ST,ZION AVE,TWAIN AVE,3700 N,3000,3000 N,3000 N,2800
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,CROWN POINT DR,INGRAHAM ST,LAMONT ST,7300 N,7500 E,7500 N,8100,8100 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,CURLEW ST,ROBINSON AVE,REYNARD WAY,1700 N,1900,1900 N,1900 N,1300
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DAIRY MART RD,BEYER BLVD,SAN YSIDRO BLVD (W),12500 N,14700,14700 N,12700,12700 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DAIRY MART RD,SAN YSIDRO BLVD (W),INTERSTATE 5,21700,21700,21700 N,18800,18800 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DAIRY MART RD,INTERSTATE 5,SERVANDO AVE,10200 N,10200 N,13000,13800,13800 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DAIRY MART RD,SERVANDO AVE,MONUMENT RD,10200 N,10200,10200 N,10200 N,10200 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DALEY CENTER DR,AERO DR,GRANITE RIDGE DR,10700 N,9400,9400,9600,9600 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DALEY CENTER DR,GRANITE RIDGE DR,STONECREST BLVD,4000 N,4000 N,5900,5900 N,5900 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DAMON AVE,MISSION BAY DR,SANTA FE ST,6900 N,4200,4200 N,4200 N,4100
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DATSUN ST,OTAY VALLEY RD,HERITAGE RD,8200 N,8200,9000,9000 N,9000 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DECORO ST,GENESEE AVE,CARGILL AVE,7500 N,7500,7500 N,7500 N,7500 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEEP DELL RD,BROOKHAVEN RD,DEEP DELL CT,5400 N,5500,5500 N,5500 N,4300
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEEP DELL RD,DEEP DELL CT,PARADISE VALLEY RD,4900,4900,4900 N,5000,5000 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL CERRO BLVD,WEST END,COLLEGE AVE,3000 N,3200 E,3200 N,3200 N,1600
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL CERRO BLVD,COLLEGE BLVD,MADRA AVE,15600 N,8700,8700 N,8700 N,8600
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL CERRO BLVD,MADRA AVE,LINFIELD AVE,2100 N,2400,2400 N,2400 N,2300
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,NOB AVENUE,MANGO DR,22600 N,21400,21400 N,21400 N,19600
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,MANGO DR,INTERSTATE 5,15700 N,15700,15700 N,15700 N,15700 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,INTERSTATE 5,HIGH BLUFF DR,48600 N,48600,48600 N,48600 N,48600 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,HIGH BLUFF DR,EL CAMINO REAL,41000 N,35700,35700 N,35700 N,34400
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,EL CAMINO REAL,CARMEL COUNTRY RD,27900 N,27900,27900 N,27900 N,27900 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,CARMEL COUNTRY RD,LANSDALE DR,16400 N,21000,21000 N,21000 N,16800
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,LANSDALE DR,CARMEL CANYON RD,14300 N,14300,14300 N,14300 N,14300 N
